ID  ,Compound                                                  ,Class   ,CAS       ,Mass ,CP-Wax,CW-20M,DB-1701,DB-Wax,DB1,HP1,OV-101,OV-1701,SE5,SP-Wax,SP-Wax10,SPB-1,Odour       ,almond,burnt,ID <Link>                                               
90  ,2-methyltetrahydro-3-furanone                             ,        ,          ,100  ,1256  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=90 
91  ,"2,6-dimethylpyridine"                                    ,        ,          ,107  ,1263  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=91 
92  ,"2,4-diethyl-5-methyloxazole"                             ,        ,          ,139  ,1271  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=92 
93  ,methylpyrazine                                            ,        ,          ,94   ,1272  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=93 
94  ,methyl heptanoate                                         ,        ,          ,144  ,1273  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=94 
95  ,4-methylthiazole                                          ,        ,          ,99   ,1282  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=95 
96  ,2-octanone                                                ,        ,          ,128  ,1282  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=96 
97  ,octanal                                                   ,        ,          ,128  ,1284  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=97 
98  ,3-hydroxy-2-butanone (acetoin)                            ,        ,          ,88   ,1286  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=98 
99  ,"2,4-dimethylthiazole"                                    ,        ,          ,113  ,1289  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=99 
100 ,2-ethylpyridine                                           ,        ,          ,107  ,1294  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=100
101 ,1-hepten-3-one                                            ,        ,          ,114  ,1299  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=101
102 ,"2-propyl-4,5-dimethyloxazole"                            ,        ,          ,139  ,1300  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=102
103 ,1-hydroxy-2-propanone                                     ,        ,          ,74   ,1308  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=103
104 ,2-methyl-2-thiazoline                                     ,        ,          ,101  ,1309  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=104
105 ,3-methylpyridine (beta-picoline)                          ,        ,          ,93   ,1312  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=105
106 ,6-methyl-5-hepten-2-one                                   ,        ,          ,126  ,1315  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=106
107 ,6-ethyl-2-methylpyridine                                  ,        ,          ,121  ,1320  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=107
108 ,4-methylpyridine                                          ,        ,          ,93   ,1322  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=108
109 ,2-heptenal                                                ,        ,          ,112  ,1323  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=109
110 ,"2,5-dimethylthiazole"                                    ,        ,          ,113  ,1330  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=110
111 ,"2,5-dimethylpyrazine"                                    ,        ,          ,108  ,1331  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=111
112 ,1-octanethiol                                             ,        ,          ,146  ,1335  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=112
113 ,"2,6-dimethylpyrazine"                                    ,        ,          ,108  ,1336  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=113
114 ,2-propyl-5-methyl-4-ethyloxazole                          ,        ,          ,153  ,1337  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=114
115 ,ethylpyrazine                                             ,        ,          ,108  ,1339  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=115
